channel,message_id,date,text,views,forwards,media_type,image_path
CheMed123,97,2023-02-10 12:23:06+00:00,"⚠️**Notice!
**Dear esteemed customers,
Due to four-day motorbike movement restrictions, we have limited our services to matchmaking,drug information, and medical consultation only.

**N.B. 
**🔅We will make deliveries for those for whom the medications are urgent.
🔅You can book deliveries starting from Monday, February 13, 2023",1408,2,photo,data\raw\images\CheMed123\97.jpg
CheMed123,96,2023-02-02 08:58:52+00:00,"Mela-One በውስጡ ሆርሞን ያለው ድንገተኛ ወሊድ መቆጣጠርያ ሲሆን ያለመከላከያ የተደረገ የግብረስጋ ግንኙነት ሲኖር በ72 ሰዓታት ወስጥ መወሰድ ይኖርበታል።

📌ከChe-Med ለማዘዝ፡ 
በቴሌግራም ግሩፓችን- t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይዘዙን።",1246,3,photo,data\raw\images\CheMed123\96.jpg
CheMed123,95,2023-02-01 08:59:37+00:00,"**አዚትሮማይሲን** በሃኪም መድሃኒት ማዘዣ ከሚታዘዙ አንቲባዮቲኮች አንዱ ሲሆን በርከት ያሉ ባክቴርያዎችን ይገላል።

በቀን አንዴ ለ3 ቀናት ምግብ ከመብላታችን 1 ሰዓት ቀደም ብሎ ወይንም ከበላን ከ 2 ሰዓት በኋላ መወሰድ ይኖርበታል።

📌የሃኪም ማዘዣ ካልዎት 
በቴሌግራም ግሩፓችን-t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይላኩልን።",1119,4,photo,data\raw\images\CheMed123\95.jpg
CheMed123,94,2023-01-31 09:19:53+00:00,"**Che-Med Trivia #3

**ምግብና መጠጦች አንዳንድ መድሃኒቶች በደንብ እንዳይሰሩ ሊያደርጉ ይችላሉ። በዚህ ሁኔታ እነዚህን መድሃኒቶች ምግብ ከወሰድን ከ1 ሰዓት እስከ 2 ሰዓት ባለ ጊዜ ውስጥ መውሰድ ያስፈልግዎታል።

ከነዚህም ወስጥ **የእንቅርት መድሃኒቶች፣Omeprazole፣Sildenafil(Viagra)፣Captopril እና Ampicillin** ይጠቀሳሉ።

መድሃኒትዎ ከምግብ ጋር ያለውን አወሳሰድ እርግጠኛ ካልሆኑ ሃኪምዎን ወይም ፋርማሲስትዎን ያማክሩ።",863,1,photo,data\raw\images\CheMed123\94.jpg
CheMed123,93,2023-01-30 09:45:25+00:00,"**Che-Med Trivia #2

**እንደ Ciprofloxacin, Doxycycline, Levothyroxine, Iron supplement ያሉ መድሃኒቶችን ከወተት እና ከወተት ተዋፅዖዎች ጋር እንዲሁም ከእንቁላል ጋር መውሰድ መድሃኒቶቹ በሰውነታችን የሚፈለገውን ስራ እንዳይሰሩ ያደርጋቸዋል።

ይህም በወተት ተዋጽኦዎች ውስጥ ያለው ካልሲየም እነዚህ መድሃኒቶች በሰውታችን ወስጥ እንዳይዋህዱ ጣልቃ ስለሚገባ ነው።",746,2,photo,data\raw\images\CheMed123\93.jpg
CheMed123,92,2023-01-27 07:18:40+00:00,"**You can get our services at:
**Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Our website: **www.chemeds.org**",717,0,photo,data\raw\images\CheMed123\92.jpg
CheMed123,91,2023-01-26 18:27:53+00:00,"**Che-Med Trivia #1
**The U.S. pharmaceutical industry is the largest in the world, making up about 40% of the worldwide drug development, manufacturing, and revenue generation. And half of the world’s top 10 pharmaceutical companies are in America, including the headquarters for Johnson & Johnson, Pfizer, Merck and Co., AbbVie, Eli Lilly and Co., and Abbott Laboratories. In fact, Johnson & Johnson’s revenue alone reached $82.6 billion in 2020.",635,0,photo,data\raw\images\CheMed123\91.jpg
CheMed123,90,2023-01-23 10:39:20+00:00,"**CVS Daytime & Nighttime Cold and Flu Relief

**ለሰሞኑ ጉንፋን ማስታገሻ በአንደኝነት ተመራጭ የሆነውን **CVS Daytime & Nighttime Cold and Flu Relief** Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Our website: www.chemeds.org

Che-Med is the best way to find your meds!",660,2,photo,data\raw\images\CheMed123\90.jpg
CheMed123,89,2023-01-17 19:10:57+00:00,"🟠ለናንተ ለደምበኞቻችን ይሆናሉ ያልናቸዉን ምርጥ ቫይታሚንና ሰፕልመንቶች እነሆ!!

አጭር የTiktok ቪዲዮአችንን በመመልከት ግንዛቤዎን ይጨምሩ።
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMYJHUVde/

የTiktok ቻናላችንን Like እና Follow ያድርጉ።",2300,4,document (video/mp4),
CheMed123,88,2023-01-17 08:43:12+00:00,"🌞**Sundown Cinnamon!
Supports sugar metabolism**.

Che-Med **Sundown Cinnamon** **Supplement Product** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med is the best way to find your meds!",542,0,photo,data\raw\images\CheMed123\88.jpg
CheMed123,87,2023-01-16 13:41:35+00:00,"**📻Che-Med** held fruit-bearing discussion at **ሳይበርኛ** radio program on Fana 98.1FM about digital health care and privacy and security of E-commerce.

We discussed in details current trends in digital healthcare, It's benefits, challenges, and opportunities.

You can listen to us at 08:00PM tonight and increase your understanding about the current activities of digital health care and its future.

Che-Med",460,0,photo,data\raw\images\CheMed123\87.jpg
CheMed123,86,2023-01-16 10:13:42+00:00,"🔵**Get GOFEN from Che-Med!

**Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Website: **www.chemeds.org****

**Che-Med the best way to find your meds!",439,3,photo,data\raw\images\CheMed123\86.jpg
CheMed123,85,2023-01-16 09:26:09+00:00,"⚠️**Notice!
**Dear esteemed customers,
Due to four-days motorbike movement restrictions, we have limited our services to matchmaking,drug information and medical consultation only.

**N.B. 
**🔅We will make deliveries for whom the medications are urgent.
🔅You can book deliveries starting from Friday, Jan 20.",398,1,photo,data\raw\images\CheMed123\85.jpg
CheMed123,82,2023-01-13 12:48:47+00:00,"**Nature's Bounty Supplement Products** **are here!

**Che-Med **Nature's Bounty Supplement Products** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med the best way to find your meds!",410,0,photo,data\raw\images\CheMed123\82.jpg
CheMed123,81,2023-01-13 09:44:14+00:00,"**Nature's Bounty Supplement Products** **are here!

**Che-Med **Nature's Bounty Supplement Products** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med the best way to find your meds!",1792,5,photo,data\raw\images\CheMed123\81.jpg
CheMed123,80,2023-01-06 16:06:21+00:00,"**ስለ Nature Made Vitamin supplement** tiktok ላይ እንንገርዎ።

ለማየት፡ https://vm.tiktok.com/ZMFw4DarV/

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** **https://t.me/CheMedAssistant9798**
**Our call center: **9798

**Follow our channel and stay tuned
https://t.me/CheMeds

Che-Med the best way to find your meds!",1138,4,photo,data\raw\images\CheMed123\80.jpg
CheMed123,79,2023-01-06 09:31:17+00:00,"🎄Che-Med ለመላው ክርስትያን ቤተሰቦቻችን መልካም የገና በዓል እንዲሆንልዎ ይመኛል።

መልካም በዓል!!",368,0,photo,data\raw\images\CheMed123\79.jpg
CheMed123,78,2023-01-06 06:05:01+00:00,,889,1,photo,data\raw\images\CheMed123\78.jpg
CheMed123,77,2023-01-04 05:58:02+00:00,"**Nature Made Vitamin supplements

**Che-Med በደምበኞቻችን ፍላጎት መሰረት Nature made vitamin supplement ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Follow our channel and stay tuned
https://t.me/CheMeds

Che-Med the best way to find your meds!",13788,7,photo,data\raw\images\CheMed123\77.jpg
CheMed123,76,2023-01-03 17:49:48+00:00,"በwww.chemeds.org መድሃኒትዎን የሚያዙበትን መንገድ የሚያሳይ tiktok ቪዲዮ።

👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMFTkBoWk/",369,1,photo,data\raw\images\CheMed123\76.jpg
CheMed123,75,2023-01-03 05:48:34+00:00,✨በChe-Med የጥሪ ማዕከል 9798 ላይ ደውለው  በመመዝገብ በየወሩ የሚያስፈልግዎትን ኢንሱሊን ቤትዎ በር ድረስ ያስመጡ።,1232,3,photo,data\raw\images\CheMed123\75.jpg
CheMed123,74,2023-01-02 07:02:55+00:00,,923,1,photo,data\raw\images\CheMed123\74.jpg
CheMed123,73,2023-01-02 06:58:48+00:00,,879,1,document (video/mp4),
CheMed123,71,2022-12-30 15:45:35+00:00,"Che-Med at Smart city symposium, National science museum.
 
Like share and subscribe our tiktok vlog.
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMFcHq5Xk/",15078,4,photo,data\raw\images\CheMed123\71.jpg
